Zvalue	Max	Min	zRange	zRangePrev	IO
-29168	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29155	10896	10880	32	32	7000
-29157	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29174	10896	10880	32	32	7000
-29171	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29159	10896	10880	32	32	7000
-29161	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29171	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29167	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29167	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29167	10896	10880	32	32	7000
-29165	10896	10880	32	32	7000
-29152	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29179	10896	10880	32	32	7000
-29154	10896	10880	32	32	7000
-29148	10896	10880	32	32	7000
-29166	10896	10880	32	32	7000
-29160	10896	10880	32	32	7000
-29154	10896	10880	32	32	7000
-29164	10896	10880	32	32	7000
-29162	10896	10880	32	32	7000
-29157	10896	10880	32	32	7000
-29149	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29154	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29160	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29155	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29155	10896	10832	64	64	8000
-29157	10896	10832	64	64	8000
-29162	10896	10832	64	64	8000
-29160	10896	10832	64	64	8000
-29153	10896	10832	64	64	8000
-29154	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29148	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29164	10896	10832	64	64	8000
-29158	10896	10832	64	64	8000
-29155	10896	10832	64	64	8000
-29164	10896	10832	64	64	8000
-29165	10896	10832	64	64	8000
-29161	10896	10832	64	64	8000
-29154	10896	10832	64	64	8000
-29159	10896	10832	64	64	8000
-29164	10896	10832	64	64	8000
-29166	10896	10832	64	64	8000
-29166	10896	10832	64	64	8000
-29165	10896	10832	64	64	8000
-29166	10896	10832	64	64	7000
-29165	10896	10832	64	64	7000
-29168	10896	10832	64	64	7000
-29165	10896	10832	64	64	7000
-29166	10896	10832	64	64	7000
-29166	10888	10832	56	56	7000
-29169	10888	10832	56	56	7000
-29165	10888	10832	56	56	7000
-29166	10888	10832	56	56	7000
-29166	10888	10832	56	56	7000
-29169	10888	10832	56	56	7000
-29168	10888	10832	56	56	7000
-29162	10888	10832	56	56	7000
-29165	10888	10832	56	56	7000
-29169	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29167	10888	10832	56	56	7000
-29174	10888	10832	56	56	7000
-29152	10888	10832	56	56	7000
-29171	10888	10832	56	56	7000
-29169	10888	10832	56	56	7000
-29158	10888	10832	56	56	7000
-29169	10888	10832	56	56	7000
-29166	10888	10832	56	56	7000
-29155	10888	10832	56	56	7000
-29171	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29158	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29162	10888	10832	56	56	7000
-29157	10888	10832	56	56	7000
-29154	10888	10832	56	56	7000
-29157	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29157	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29155	10888	10832	56	56	7000
-29155	10888	10832	56	56	7000
-29153	10888	10832	56	56	8000
-29157	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29160	10888	10832	56	56	8000
-29157	10888	10832	56	56	8000
-29153	10888	10832	56	56	8000
-29154	10888	10832	56	56	8000
-29155	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29175	10888	10832	56	56	8000
-29165	10888	10832	56	56	8000
-29144	10888	10832	56	56	8000
-29141	10888	10832	56	56	8000
-29153	10888	10832	56	56	8000
-29165	10888	10832	56	56	8000
-29164	10888	10832	56	56	8000
-29161	10888	10832	56	56	8000
-29153	10888	10832	56	56	8000
-29149	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29166	10888	10832	56	56	8000
-29169	10888	10832	56	56	8000
-29161	10888	10832	56	56	8000
-29155	10888	10832	56	56	8000
-29152	10888	10832	56	56	8000
-29151	10888	10832	56	56	8000
-29157	10888	10832	56	56	8000
-29155	10888	10832	56	56	8000
-29165	10888	10832	56	56	8000
-29153	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29160	10888	10832	56	56	8000
-29155	10888	10832	56	56	8000
-29155	10888	10832	56	56	8000
-29154	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29161	10888	10832	56	56	8000
-29160	10888	10832	56	56	8000
-29160	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29158	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29155	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29159	10888	10832	56	56	8000
-29158	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29165	10888	10832	56	56	7000
-29171	10888	10832	56	56	7000
-29155	10888	10832	56	56	7000
-29157	10888	10832	56	56	7000
-29158	10888	10832	56	56	7000
-29162	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29172	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29149	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29173	10888	10832	56	56	7000
-29168	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29155	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29169	10888	10832	56	56	7000
-29169	10888	10832	56	56	7000
-29169	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29162	10888	10832	56	56	7000
-29158	10888	10832	56	56	7000
-29157	10888	10832	56	56	7000
-29159	10888	10832	56	56	7000
-29166	10888	10832	56	56	7000
-29160	10888	10832	56	56	7000
-29167	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29165	10888	10832	56	56	7000
-29162	10888	10832	56	56	7000
-29161	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29164	10888	10832	56	56	7000
-29165	10888	10832	56	56	7000
